Discord ID,Accumulated Points,Balance
378048007599423491,10,10
799067892062617632,20,20
965262102820429834,50,50
529972781073301505,10,10
560119822361296897,30,30
947391446988779531,20,20
955688670428549120,30,30
577875091820642325,30,30
479214726119948308,20,20
988351719731789824,20,20
944116470386925568,20,20
904644874039599105,40,40
962959902198890556,20,20
447307048888041482,30,30
1011567325520072714,20,20
404928667425308682,30,30
953237738621112320,10,10
908083124305559572,30,30
835524311547904050,20,20
845309743518056498,20,20
552846822000033801,10,10
562768057236193283,20,20
497639016636874762,30,30
910501858404093972,30,30
941208541547601931,10,10
760865318263586876,10,10
888982114983378993,10,10
308972699525578762,30,30
469816423208976385,30,30
435121594247938069,20,20
935495872291164160,30,30
395814118461800449,20,20
352359602823626762,30,30
931211778115924009,80,80
933294422265839626,20,20
935244272200974438,50,50
228186428205432833,20,20
917983330719371344,30,30
885679945714647050,50,50
487560448724434945,20,20
879732964483825674,20,20
894925427984990208,30,30
436766614348627979,20,20
239665156286578689,10,10
714778516033634325,60,60
495524708523966464,20,20
892090790120128624,30,30
929773132162678835,20,20
735895767931420713,10,10
471367896770281472,20,20
784331640825708574,20,20
615174838520250378,50,50
913768287693840415,60,60
1000700485583519754,10,10
411028540532719618,30,30
346852297697132544,20,20
989361589775904778,20,20
566746086920814602,30,30
1012539078765453312,20,20
361919492911005696,50,50
597818137479741440,10,10
751432663147085825,10,10
929392368644415508,50,50
845706794080403496,60,60
909279237276598282,30,30
934137585322823701,30,30
935436624651771905,10,10
551532280687099915,10,10
469837985790296085,20,20
855751934702125066,20,20
934157351395663943,30,30
896083504209739827,10,10
812521926848938014,20,20
936415717832687686,30,30
927930683224113153,50,50
931551611883507712,30,30
836545662644387841,10,10
290158354406440962,20,20
951657305399763025,10,10
830100142622900224,20,20
512152153205506050,30,30
890135047896711189,20,20
458552921349423104,30,30
358563677986619392,30,30
572297836155371521,20,20
826705077779300372,10,10
926665990467641354,20,20
854496185526779905,20,20
920118064861835335,50,50
703596578115420303,20,20
339095370652975105,30,30
814417065174892574,20,20
871307165963542588,20,20
419666984519598081,50,50
921256448669933589,20,20
993920014480580749,30,30
923203570893987891,20,20
826990911689850901,20,20
203721377889517568,30,30
1029460450892578817,30,30
568318899020365844,30,30
1051134638048948344,30,30
507774460858728469,20,20
786083078493306890,10,10
1051184233877602375,10,10
924951701260230676,10,10
1051368512150589521,30,30
679341490471698474,20,20
500623795187613696,30,30
921880539554795541,20,20
608108201405186068,20,20
917750031002533958,10,10
917408187911667803,10,10
933924368604594178,30,30
904756884702101554,40,40
392335302091472898,10,10
941140377770004540,30,30
937652111301283890,10,10
929746252856438785,20,20
420187165302063104,30,30
918264789694812160,80,80
627498599458144257,20,20
811844207551578113,10,10
477854445238091776,30,30
748186107539226664,20,20
593455489615003650,30,30
659006570876633088,10,10
761594452665303040,20,20
202778594739617792,30,30
921440858514006036,80,80
609294470894190592,10,10
929769362406146048,20,20
646704567597268993,30,30
924604031471603763,20,20
620165016791810058,20,20
923003503583043604,20,20
841956245173960714,10,10
810120380630302731,10,10
857977143275028490,10,10
286492758355607552,10,10
558792448399245312,20,20
892640090537459713,10,10
968700612390813716,20,20
904725730900992061,20,20
905094918278627338,40,40
898056467721109514,20,20
433564409051217920,30,30
911723375536271380,10,10
814379888286105630,20,20
817332326022250519,20,20
689589992242282638,20,20
642670410093035520,30,30
911164708214669344,10,10
300663242336894978,30,30
157815858356420608,10,10
981823020681273374,10,10
534739070358913024,10,10
929041997153579019,20,20
916639805251657780,30,30
664071810051997707,20,20
948919743082037279,30,30
869954742888071228,20,20
936561264497418250,20,20
360613992936505345,10,10
936756042224787536,20,20
897509139327094814,30,30
790391080646475786,30,30
533169197451051008,30,30
1034729570663940137,30,30
1006448302977470475,30,30
986519352281030676,30,30
319484125230792705,20,20
954939340230918156,20,20
888360244017786910,20,20
955106064183996466,30,30
894844188775030804,10,10
761847504056483850,10,10
666547382241984512,20,20
923833630244106240,10,10
861141113024282654,20,20
908900495618371635,20,20
929363299160698920,20,20
914142697835626546,30,30
983580256923426836,20,20
963364367515127838,30,30
823815757530923088,10,10
277782455442866177,30,30
829973903689383967,30,30
926406397434953728,10,10
788772369233477643,20,20
828649849129926667,20,20
817487565514342431,10,10
376404913317740549,30,30
840454596601184266,20,20
788051985390764032,20,20
521301715199328257,30,30
800121633255718954,20,20
948814775842906163,40,40
912758399811330079,60,60
236806101335539722,50,50
793894174579228705,30,30
891212035977797743,20,20
912264330974728192,10,10
910431785647751169,40,40
926269171199787008,30,30
926270026791657482,30,30
926270494230073425,30,30
926274201848004658,30,30
926271535893872660,30,30
926275327364321280,30,30
456790953563258882,30,30
829183039451824199,10,10
901462767603679292,10,10
693416975220604949,30,30
923521149919436811,10,10
943716474663616542,10,10
111483306188517376,10,10
933237478079492127,50,50
884492447642685460,10,10
557809350975029251,10,10
937259279990272040,20,20
955442002231709776,30,30
942008476643766292,30,30
942027723130437633,30,30
811126774708305951,20,20
720602727746633739,20,20
852065977101582378,20,20
1007643432891732029,20,20
837952767925551184,30,30
693310694891716628,20,20
918785162580467772,10,10
833708443080065024,30,30
794776787418742855,30,30
533234393230082049,10,10
916539651416801350,10,10
222470138643873792,10,10
409424939502927873,30,30
1009860891346468964,20,20
993738427881230417,20,20
366046195107233794,30,30
601056759771168772,10,10
206258395802632192,30,30
949925882447929344,60,60
1001723279372980307,0,0
819121596094611496,20,20
674831711606931478,20,20
625305443140370442,100,100
946563069889359873,10,10
892057256928104479,20,20
776420905261072384,20,20
897880843119378452,30,30
1006820694279073842,30,30
941507344951545856,20,20
225586574291763201,10,10
872433903867154453,10,10
927878724085510164,10,10
239461862863929344,40,40
911859278250393630,10,10
560045864987525121,30,30
932975149697863720,20,20
1017678180502483024,20,20
628956177153392650,10,10
928266176117743617,20,20
933095506291335168,10,10
484670325758361601,10,10
915603952756731964,10,10
792357793540997130,20,20
909553125315186718,50,50
969620203489087558,10,10
975438504899256410,10,10
985408345919856660,10,10
1015894985582837783,10,10
945992222149603338,20,20
976479860874674176,10,10
804325702211993610,10,10
1028379649828458576,10,10
817856551154090035,20,20
565840415593463808,20,20
602546100385087509,30,30
930659767779741769,20,20
918174811635744788,30,30
951455845013680158,20,20
922466491977322537,10,10
934418979773108305,10,10
355706830263156738,20,20
909109129384189964,20,20
894243985856548894,20,20
885498997396107355,30,30
943470351357206579,60,60
871662497059471402,30,30
832593822579032065,90,90
514800287483953172,20,20
629822239440633866,40,40
342200075230904320,10,10
533904170433118208,20,20
411442313458352128,20,20
916421306075987988,10,10
828270674115166259,10,10
540482375935590412,20,20
909149632389578752,40,40
903533499619889202,10,10
326520248918343680,10,10
939931222157692949,50,50
381070718789615616,10,10
1006942080842612816,20,20
1006952296342634558,20,20
1007259702834507886,20,20
1007294298867384390,20,20
990117838364749845,20,20
926363098997211138,10,10
919828447751176193,20,20
849550050996781066,20,20
882969140011356171,10,10
990141302798712902,20,20
1037721666031202335,10,10
997770123588931644,10,10
956390021676556288,10,10
927991659420078142,20,20
391867090656559105,10,10
592773789297934337,10,10
990160341969289216,10,10
1037414946083967047,10,10
917855268950396938,10,10
977135533547462706,10,10
604854006241820725,10,10
559743742207328268,10,10
948096811690754058,0,0
836090961230036992,10,10
274872681508241411,20,20
397378484772667392,10,10
930797820301152306,10,10
969803436520517642,10,10
984652778326593556,0,0
550227509879504919,20,20
474220186392854530,100,100
774329551039365150,10,10
588377778894667777,10,10
990548217362014228,10,10
417877494650372097,10,10
437967859273039873,10,10
502958368877707264,10,10
920616282280329216,10,10
728515956506230876,10,10
852810755081633793,10,10
935466122604580914,20,20
903864594102108190,20,20
940501098265980969,10,10
868368324524904498,10,10
693716916371587092,20,20
907824445211672618,10,10
884457789014016050,60,60
891348465798504468,10,10
700405584763027721,10,10
802549434788872202,10,10
957970027116646402,10,10
822858711685005353,10,10
525307128081154052,10,10
896491182186709022,20,20
919128471094067210,10,10
874304360518135809,10,10
509270796255100930,10,10
924502082512375859,10,10
942006770048581702,10,10
941998051998969946,10,10
889537528594591775,10,10
993083114568024084,10,10
837956962737324032,10,10
504241417720430592,10,10
976881123042918420,10,10
840266774753837076,10,10
903171187054612490,10,10
697807071978192946,10,10
925767279038304338,10,10
