Item ID,Item Name,Tier,Total,Remaining,Contributor,Twitter Link,Image Name
A0001,Yu-Gi-Yn NFT,1,1,1,Jer,https://twitter.com/Yu_Gi_Yn,yugiyn.jpeg
A0002,Alpha Gang (Gen 2) NFT,1,2,2,Jer,https://twitter.com/AlphaGangX,ag.jpeg
A0003,Cryptvques NFT,1,1,1,Jer,https://twitter.com/CRYPTYQUES,cryptyques.jpeg
A0004,Origamask NFT,1,1,1,xxxxxxLess,https://twitter.com/origamasks,origamask.jpeg
A0005,Lonely Pop NFT,1,1,1,Hweem,https://twitter.com/LonelyPopNFT,lp.jpeg
A0006,Alpha Gang (Gen 2) NFT,1,2,2,Alpha Gang,https://twitter.com/AlphaGangX,ag.jpeg
A0007,Uncanny Country Club NFT,1,2,2,Kevin,https://twitter.com/TheUncannyClub,theuncanny.jpeg
A0008,Origamask NFT,1,3,3,Kevin,https://twitter.com/origamasks,origamask.jpeg
A0009,TBP Whitelist,1,2,2,TBP,https://twitter.com/TheBlackPear1_,tbp.jpeg
A0010,Iroiro Whitelist,1,4,3,JNW,https://twitter.com/IROIRO_NFT,iroiro.jpeg
A0011,Free JoJo Whitelist,1,20,14,JNW,https://twitter.com/FreeJoJoNFT,freejojo.jpeg
A0012,Free JoJo Whitelist,1,2,2,Homi Club,https://twitter.com/FreeJoJoNFT,freejojo.jpeg
A0013,Earpitz Whitelist,1,1,1,Homi Club,https://twitter.com/EarpitzNFT,earpitz.jpeg
A0014,Earpitz Whitelist,1,5,3,JNW,https://twitter.com/EarpitzNFT,earpitz.jpeg
A0015,Earpitz Whitelist,1,9,9,HAN,https://twitter.com/EarpitzNFT,earpitz.jpeg
A0016,Zero 48 (Guaranteed WL),1,15,14,ZeroX ,https://twitter.com/ProjectZR_X,zerox.jpeg
A0017,Createra Whitelist,1,33,15,Createra,https://twitter.com/Createra_,createra.jpeg
A0018,Dudulab NFT,1,5,4,Dudulab,https://twitter.com/dudulabNFT,dudu.jpeg
A0019,Whiko Land NFT,1,6,5,ZeroX ,https://twitter.com/WHIKO_LAND,whiko.jpeg
A0020,Realms Hunter Whitelist,1,43,25,JNW,https://twitter.com/realmhunterio,rh.jpeg
B0002,TBP Invite Link,2,50,50,TBP,https://twitter.com/TheBlackPear1_,tbp.jpeg
B0003,WarpedNFT Whitelist,2,50,43,fashionpolice,https://twitter.com/WarpedNFT,warped.jpeg
B0004,Adventurers Whitelist,2,90,71,REX,https://twitter.com/Adventurers2023,adventurers.jpeg
B0006,Glorious Reality by Marc Bishop Whitelist,2,80,78,JNW,https://twitter.com/GloriousRealNFT,gr.jpeg
B0008,Pionner+Lv5 ,2,5,5,Searchfi,https://twitter.com/searchfi_eth,searchfi.jpeg
B0009,Pixel War,2,150,131,JNW,https://twitter.com/thepixelwar,tpw.png
B0010,NOREN,2,90,71,JNW,https://twitter.com/Noren_project,noren.jpeg
C0001,Nothing,3,999,999,,,
